"Device: USB-231"
"Serial Number: 219F0E1"
"Channel Count: 1"
"Sample Count: 604"
"Start Time: 11/29/2023 4:30:34.7 PM"
"Scan Rate: 10"
"Sample","Date/Time","Encoder (Ticks)"
"0","11/29/2023 4:30:34.7 PM","1"
"1","11/29/2023 4:30:34.8 PM","427"
"2","11/29/2023 4:30:34.9 PM","871"
"3","11/29/2023 4:30:35.0 PM","1315"
"4","11/29/2023 4:30:35.1 PM","1760"
"5","11/29/2023 4:30:35.2 PM","2204"
"6","11/29/2023 4:30:35.3 PM","2648"
"7","11/29/2023 4:30:35.4 PM","3092"
"8","11/29/2023 4:30:35.5 PM","3536"
"9","11/29/2023 4:30:35.6 PM","3980"
"10","11/29/2023 4:30:35.7 PM","4429"
"11","11/29/2023 4:30:35.8 PM","4878"
"12","11/29/2023 4:30:35.9 PM","5317"
"13","11/29/2023 4:30:36.0 PM","5761"
"14","11/29/2023 4:30:36.1 PM","6206"
"15","11/29/2023 4:30:36.2 PM","6654"
"16","11/29/2023 4:30:36.3 PM","7094"
"17","11/29/2023 4:30:36.4 PM","7547"
"18","11/29/2023 4:30:36.5 PM","7982"
"19","11/29/2023 4:30:36.6 PM","8429"
"20","11/29/2023 4:30:36.7 PM","8870"
"21","11/29/2023 4:30:36.8 PM","9315"
"22","11/29/2023 4:30:36.9 PM","9759"
"23","11/29/2023 4:30:37.0 PM","10207"
"24","11/29/2023 4:30:37.1 PM","10652"
"25","11/29/2023 4:30:37.2 PM","11096"
"26","11/29/2023 4:30:37.3 PM","11540"
"27","11/29/2023 4:30:37.4 PM","11984"
"28","11/29/2023 4:30:37.5 PM","12433"
"29","11/29/2023 4:30:37.6 PM","12875"
"30","11/29/2023 4:30:37.7 PM","13321"
"31","11/29/2023 4:30:37.8 PM","13767"
"32","11/29/2023 4:30:37.9 PM","14208"
"33","11/29/2023 4:30:38.0 PM","14650"
"34","11/29/2023 4:30:38.1 PM","15092"
"35","11/29/2023 4:30:38.2 PM","15539"
"36","11/29/2023 4:30:38.3 PM","15981"
"37","11/29/2023 4:30:38.4 PM","16431"
"38","11/29/2023 4:30:38.5 PM","16877"
"39","11/29/2023 4:30:38.6 PM","17316"
"40","11/29/2023 4:30:38.7 PM","17765"
"41","11/29/2023 4:30:38.8 PM","18208"
"42","11/29/2023 4:30:38.9 PM","18653"
"43","11/29/2023 4:30:39.0 PM","19092"
"44","11/29/2023 4:30:39.1 PM","19541"
"45","11/29/2023 4:30:39.2 PM","19986"
"46","11/29/2023 4:30:39.3 PM","20426"
"47","11/29/2023 4:30:39.4 PM","20876"
"48","11/29/2023 4:30:39.5 PM","21315"
"49","11/29/2023 4:30:39.6 PM","21759"
"50","11/29/2023 4:30:39.7 PM","22207"
"51","11/29/2023 4:30:39.8 PM","22651"
"52","11/29/2023 4:30:39.9 PM","23099"
"53","11/29/2023 4:30:40.0 PM","23540"
"54","11/29/2023 4:30:40.1 PM","23987"
"55","11/29/2023 4:30:40.2 PM","24430"
"56","11/29/2023 4:30:40.3 PM","24877"
"57","11/29/2023 4:30:40.4 PM","25318"
"58","11/29/2023 4:30:40.5 PM","25760"
"59","11/29/2023 4:30:40.6 PM","26206"
"60","11/29/2023 4:30:40.7 PM","26654"
"61","11/29/2023 4:30:40.8 PM","27097"
"62","11/29/2023 4:30:40.9 PM","27542"
"63","11/29/2023 4:30:41.0 PM","27987"
"64","11/29/2023 4:30:41.1 PM","28432"
"65","11/29/2023 4:30:41.2 PM","28875"
"66","11/29/2023 4:30:41.3 PM","29315"
"67","11/29/2023 4:30:41.4 PM","29762"
"68","11/29/2023 4:30:41.5 PM","30208"
"69","11/29/2023 4:30:41.6 PM","30649"
"70","11/29/2023 4:30:41.7 PM","31095"
"71","11/29/2023 4:30:41.8 PM","31538"
"72","11/29/2023 4:30:41.9 PM","31981"
"73","11/29/2023 4:30:42.0 PM","32430"
"74","11/29/2023 4:30:42.1 PM","32869"
"75","11/29/2023 4:30:42.2 PM","33315"
"76","11/29/2023 4:30:42.3 PM","33766"
"77","11/29/2023 4:30:42.4 PM","34210"
"78","11/29/2023 4:30:42.5 PM","34648"
"79","11/29/2023 4:30:42.6 PM","35098"
"80","11/29/2023 4:30:42.7 PM","35536"
"81","11/29/2023 4:30:42.8 PM","35981"
"82","11/29/2023 4:30:42.9 PM","36431"
"83","11/29/2023 4:30:43.0 PM","36868"
"84","11/29/2023 4:30:43.1 PM","37316"
"85","11/29/2023 4:30:43.2 PM","37765"
"86","11/29/2023 4:30:43.3 PM","38203"
"87","11/29/2023 4:30:43.4 PM","38653"
"88","11/29/2023 4:30:43.5 PM","39099"
"89","11/29/2023 4:30:43.6 PM","39540"
"90","11/29/2023 4:30:43.7 PM","39980"
"91","11/29/2023 4:30:43.8 PM","40431"
"92","11/29/2023 4:30:43.9 PM","40877"
"93","11/29/2023 4:30:44.0 PM","41321"
"94","11/29/2023 4:30:44.1 PM","41766"
"95","11/29/2023 4:30:44.2 PM","42203"
"96","11/29/2023 4:30:44.3 PM","42652"
"97","11/29/2023 4:30:44.4 PM","43098"
"98","11/29/2023 4:30:44.5 PM","43539"
"99","11/29/2023 4:30:44.6 PM","43983"
"100","11/29/2023 4:30:44.7 PM","44425"
"101","11/29/2023 4:30:44.8 PM","44874"
"102","11/29/2023 4:30:44.9 PM","45314"
