"Device: USB-231"
"Serial Number: 219F0E1"
"Channel Count: 5"
"Sample Count: 17220"
"Start Time: 1/25/2024 12:37:30.522 PM"
"Scan Rate: 1000"
"Sample","Date/Time","Torque (V)","Temp1 (V)","CH2H Volt (V)","CH3H Current (V)","Temp2 (V)"
"0","1/25/2024 12:37:30.522 PM","-0.165","3.006","1.452","1.099","2.988"
"1","1/25/2024 12:37:30.523 PM","-0.166","3.010","1.452","1.099","2.987"
"2","1/25/2024 12:37:30.524 PM","-0.170","3.010","1.455","1.097","2.984"
"3","1/25/2024 12:37:30.525 PM","-0.159","3.008","1.453","1.099","2.988"
"4","1/25/2024 12:37:30.526 PM","-0.164","3.006","1.451","1.099","2.985"
"5","1/25/2024 12:37:30.527 PM","-0.160","3.011","1.452","1.098","2.985"
"6","1/25/2024 12:37:30.528 PM","-0.159","2.999","1.456","1.096","2.990"
"7","1/25/2024 12:37:30.529 PM","-0.157","3.007","1.451","1.099","2.988"
"8","1/25/2024 12:37:30.530 PM","-0.163","3.009","1.450","1.097","2.987"
"9","1/25/2024 12:37:30.531 PM","-0.158","3.010","1.455","1.097","2.989"
"10","1/25/2024 12:37:30.532 PM","-0.158","3.010","1.446","1.098","2.981"
"11","1/25/2024 12:37:30.533 PM","-0.154","3.003","1.452","1.098","2.985"
"12","1/25/2024 12:37:30.534 PM","-0.155","3.004","1.454","1.098","2.986"
"13","1/25/2024 12:37:30.535 PM","-0.160","3.014","1.450","1.099","2.988"
"14","1/25/2024 12:37:30.536 PM","-0.152","3.004","1.456","1.098","2.988"
"15","1/25/2024 12:37:30.537 PM","-0.155","3.005","1.447","1.098","2.988"
"16","1/25/2024 12:37:30.538 PM","-0.159","3.010","1.454","1.099","2.987"
"17","1/25/2024 12:37:30.539 PM","-0.159","3.011","1.448","1.097","2.987"
"18","1/25/2024 12:37:30.540 PM","-0.161","3.007","1.453","1.100","2.985"
"19","1/25/2024 12:37:30.541 PM","-0.167","3.011","1.456","1.101","2.987"
"20","1/25/2024 12:37:30.542 PM","-0.161","3.013","1.453","1.100","2.988"
"21","1/25/2024 12:37:30.543 PM","-0.156","3.007","1.457","1.100","2.988"
"22","1/25/2024 12:37:30.544 PM","-0.165","3.009","1.451","1.099","2.987"
"23","1/25/2024 12:37:30.545 PM","-0.150","3.025","1.457","1.099","2.986"
"24","1/25/2024 12:37:30.546 PM","-0.152","3.006","1.453","1.098","2.988"
"25","1/25/2024 12:37:30.547 PM","-0.152","3.010","1.453","1.097","2.989"
"26","1/25/2024 12:37:30.548 PM","-0.158","3.009","1.449","1.099","2.986"
"27","1/25/2024 12:37:30.549 PM","-0.155","3.009","1.445","1.098","2.987"
"28","1/25/2024 12:37:30.550 PM","-0.154","3.013","1.452","1.097","2.985"
"29","1/25/2024 12:37:30.551 PM","-0.145","3.002","1.451","1.100","2.985"
"30","1/25/2024 12:37:30.552 PM","-0.158","3.020","1.454","1.099","2.985"
"31","1/25/2024 12:37:30.553 PM","-0.148","3.024","1.458","1.099","2.986"
"32","1/25/2024 12:37:30.554 PM","-0.161","2.988","1.457","1.100","2.987"
"33","1/25/2024 12:37:30.555 PM","-0.159","3.011","1.451","1.098","2.989"
"34","1/25/2024 12:37:30.556 PM","-0.170","3.011","1.449","1.100","2.986"
"35","1/25/2024 12:37:30.557 PM","-0.162","3.011","1.453","1.098","2.988"
"36","1/25/2024 12:37:30.558 PM","-0.161","3.010","1.450","1.099","2.984"
"37","1/25/2024 12:37:30.559 PM","-0.157","3.011","1.456","1.100","2.986"
"38","1/25/2024 12:37:30.560 PM","-0.162","3.009","1.456","1.099","2.989"
"39","1/25/2024 12:37:30.561 PM","-0.159","3.014","1.445","1.098","2.987"
"40","1/25/2024 12:37:30.562 PM","-0.162","3.030","1.460","1.099","2.987"
"41","1/25/2024 12:37:30.563 PM","-0.159","3.011","1.450","1.098","2.986"
"42","1/25/2024 12:37:30.564 PM","-0.160","3.012","1.455","1.099","2.988"
"43","1/25/2024 12:37:30.565 PM","-0.155","3.010","1.452","1.098","2.984"
"44","1/25/2024 12:37:30.566 PM","-0.158","3.010","1.445","1.098","2.985"
"45","1/25/2024 12:37:30.567 PM","-0.147","3.017","1.448","1.098","2.985"
"46","1/25/2024 12:37:30.568 PM","-0.152","3.003","1.444","1.099","2.988"
"47","1/25/2024 12:37:30.569 PM","-0.163","3.014","1.453","1.098","2.990"
"48","1/25/2024 12:37:30.570 PM","-0.172","2.992","1.456","1.099","2.987"
"49","1/25/2024 12:37:30.571 PM","-0.153","3.016","1.453","1.100","2.988"
"50","1/25/2024 12:37:30.572 PM","-0.157","3.010","1.453","1.097","2.987"
"51","1/25/2024 12:37:30.573 PM","-0.155","3.011","1.450","1.099","2.985"
"52","1/25/2024 12:37:30.574 PM","-0.167","3.010","1.451","1.098","2.987"
"53","1/25/2024 12:37:30.575 PM","-0.165","3.010","1.446","1.099","2.989"
"54","1/25/2024 12:37:30.576 PM","-0.173","3.012","1.448","1.096","2.985"
"55","1/25/2024 12:37:30.577 PM","-0.161","3.009","1.453","1.098","2.988"
"56","1/25/2024 12:37:30.578 PM","-0.161","3.012","1.446","1.099","2.984"
"57","1/25/2024 12:37:30.579 PM","-0.161","3.013","1.458","1.099","2.986"
"58","1/25/2024 12:37:30.580 PM","-0.161","3.009","1.451","1.098","2.987"
"59","1/25/2024 12:37:30.581 PM","-0.154","3.011","1.450","1.098","2.985"
"60","1/25/2024 12:37:30.582 PM","-0.160","3.009","1.451","1.098","2.987"
"61","1/25/2024 12:37:30.583 PM","-0.142","3.011","1.449","1.098","2.986"
"62","1/25/2024 12:37:30.584 PM","-0.154","3.017","1.453","1.097","2.987"
"63","1/25/2024 12:37:30.585 PM","-0.159","3.005","1.449","1.100","2.986"
"64","1/25/2024 12:37:30.586 PM","-0.161","3.014","1.445","1.097","2.986"
"65","1/25/2024 12:37:30.587 PM","-0.149","3.019","1.439","1.096","2.985"
"66","1/25/2024 12:37:30.588 PM","-0.165","3.013","1.446","1.098","2.987"
"67","1/25/2024 12:37:30.589 PM","-0.160","3.009","1.452","1.097","2.986"
"68","1/25/2024 12:37:30.590 PM","-0.164","3.013","1.450","1.098","2.985"
"69","1/25/2024 12:37:30.591 PM","-0.163","3.013","1.450","1.098","2.985"
"70","1/25/2024 12:37:30.592 PM","-0.163","3.013","1.448","1.098","2.988"
"71","1/25/2024 12:37:30.593 PM","-0.165","3.008","1.445","1.098","2.985"
"72","1/25/2024 12:37:30.594 PM","-0.161","3.010","1.448","1.098","2.985"
"73","1/25/2024 12:37:30.595 PM","-0.153","2.997","1.449","1.100","2.985"
"74","1/25/2024 12:37:30.596 PM","-0.158","3.010","1.451","1.098","2.986"
"75","1/25/2024 12:37:30.597 PM","-0.150","3.009","1.450","1.098","2.986"
"76","1/25/2024 12:37:30.598 PM","-0.152","3.013","1.449","1.100","2.987"
"77","1/25/2024 12:37:30.599 PM","-0.159","3.010","1.454","1.096","2.989"
"78","1/25/2024 12:37:30.600 PM","-0.161","3.015","1.449","1.098","2.987"
"79","1/25/2024 12:37:30.601 PM","-0.150","3.002","1.446","1.098","2.986"
"80","1/25/2024 12:37:30.602 PM","-0.152","3.016","1.452","1.098","2.984"
"81","1/25/2024 12:37:30.603 PM","-0.160","3.010","1.443","1.098","2.988"
"82","1/25/2024 12:37:30.604 PM","-0.159","3.005","1.450","1.097","2.989"
"83","1/25/2024 12:37:30.605 PM","-0.163","3.008","1.446","1.099","2.985"
"84","1/25/2024 12:37:30.606 PM","-0.166","3.009","1.450","1.098","2.987"
"85","1/25/2024 12:37:30.607 PM","-0.150","3.011","1.452","1.098","2.985"
"86","1/25/2024 12:37:30.608 PM","-0.153","3.011","1.447","1.097","2.988"
"87","1/25/2024 12:37:30.609 PM","-0.166","3.014","1.451","1.096","2.987"
"88","1/25/2024 12:37:30.610 PM","-0.169","3.010","1.443","1.098","2.985"
"89","1/25/2024 12:37:30.611 PM","-0.155","3.007","1.455","1.096","2.985"
"90","1/25/2024 12:37:30.612 PM","-0.158","2.988","1.446","1.097","2.987"
"91","1/25/2024 12:37:30.613 PM","-0.159","3.010","1.448","1.097","2.987"
"92","1/25/2024 12:37:30.614 PM","-0.154","3.011","1.450","1.100","2.988"
"93","1/25/2024 12:37:30.615 PM","-0.149","3.009","1.449","1.098","2.987"
"94","1/25/2024 12:37:30.616 PM","-0.149","3.010","1.453","1.100","2.985"
"95","1/25/2024 12:37:30.617 PM","-0.154","3.018","1.449","1.099","2.984"
"96","1/25/2024 12:37:30.618 PM","-0.155","3.011","1.453","1.099","2.991"
"97","1/25/2024 12:37:30.619 PM","-0.150","3.007","1.451","1.097","2.984"
"98","1/25/2024 12:37:30.620 PM","-0.163","2.998","1.447","1.098","2.988"
"99","1/25/2024 12:37:30.621 PM","-0.160","3.013","1.452","1.097","2.985"
"100","1/25/2024 12:37:30.622 PM","-0.162","3.010","1.447","1.098","2.987"
"101","1/25/2024 12:37:30.623 PM","-0.152","3.008","1.445","1.100","2.989"
"102","1/25/2024 12:37:30.624 PM","-0.154","3.009","1.447","1.098","2.986"
"103","1/25/2024 12:37:30.625 PM","-0.152","3.014","1.447","1.100","2.987"
"104","1/25/2024 12:37:30.626 PM","-0.156","3.014","1.449","1.100","2.988"
"105","1/25/2024 12:37:30.627 PM","-0.154","3.008","1.449","1.100","2.988"
"106","1/25/2024 12:37:30.628 PM","-0.153","2.991","1.449","1.098","2.986"
"107","1/25/2024 12:37:30.629 PM","-0.157","2.997","1.449","1.098","2.988"
"108","1/25/2024 12:37:30.630 PM","-0.158","3.013","1.449","1.095","2.987"
"109","1/25/2024 12:37:30.631 PM","-0.149","3.009","1.444","1.098","2.985"
"110","1/25/2024 12:37:30.632 PM","-0.145","3.010","1.450","1.097","2.987"
"111","1/25/2024 12:37:30.633 PM","-0.159","3.000","1.448","1.097","2.989"
"112","1/25/2024 12:37:30.634 PM","-0.152","3.014","1.453","1.097","2.986"
"113","1/25/2024 12:37:30.635 PM","-0.165","3.010","1.450","1.096","2.984"
"114","1/25/2024 12:37:30.636 PM","-0.160","3.004","1.448","1.096","2.988"
"115","1/25/2024 12:37:30.637 PM","-0.159","2.992","1.455","1.097","2.987"
