"Device: USB-231"
"Serial Number: 219F0E1"
"Channel Count: 1"
"Sample Count: 173"
"Start Time: 1/25/2024 12:37:30.5 PM"
"Scan Rate: 10"
"Sample","Date/Time","Encoder (Ticks)"
"0","1/25/2024 12:37:30.5 PM","1"
"1","1/25/2024 12:37:30.6 PM","309"
"2","1/25/2024 12:37:30.7 PM","605"
"3","1/25/2024 12:37:30.8 PM","916"
"4","1/25/2024 12:37:30.9 PM","1220"
"5","1/25/2024 12:37:31.0 PM","1532"
"6","1/25/2024 12:37:31.1 PM","1836"
"7","1/25/2024 12:37:31.2 PM","2145"
"8","1/25/2024 12:37:31.3 PM","2455"
"9","1/25/2024 12:37:31.4 PM","2758"
"10","1/25/2024 12:37:31.5 PM","3070"
"11","1/25/2024 12:37:31.6 PM","3379"
"12","1/25/2024 12:37:31.7 PM","3682"
"13","1/25/2024 12:37:31.8 PM","3991"
"14","1/25/2024 12:37:31.9 PM","4297"
"15","1/25/2024 12:37:32.0 PM","4606"
"16","1/25/2024 12:37:32.1 PM","4915"
"17","1/25/2024 12:37:32.2 PM","5231"
"18","1/25/2024 12:37:32.3 PM","5531"
"19","1/25/2024 12:37:32.4 PM","5837"
"20","1/25/2024 12:37:32.5 PM","6150"
"21","1/25/2024 12:37:32.6 PM","6455"
"22","1/25/2024 12:37:32.7 PM","6763"
"23","1/25/2024 12:37:32.8 PM","7069"
"24","1/25/2024 12:37:32.9 PM","7375"
"25","1/25/2024 12:37:33.0 PM","7687"
"26","1/25/2024 12:37:33.1 PM","7994"
"27","1/25/2024 12:37:33.2 PM","8300"
"28","1/25/2024 12:37:33.3 PM","8612"
"29","1/25/2024 12:37:33.4 PM","8914"
"30","1/25/2024 12:37:33.5 PM","9224"
"31","1/25/2024 12:37:33.6 PM","9533"
"32","1/25/2024 12:37:33.7 PM","9840"
"33","1/25/2024 12:37:33.8 PM","10146"
"34","1/25/2024 12:37:33.9 PM","10453"
"35","1/25/2024 12:37:34.0 PM","10759"
"36","1/25/2024 12:37:34.1 PM","11067"
"37","1/25/2024 12:37:34.2 PM","11375"
"38","1/25/2024 12:37:34.3 PM","11684"
"39","1/25/2024 12:37:34.4 PM","11993"
"40","1/25/2024 12:37:34.5 PM","12302"
"41","1/25/2024 12:37:34.6 PM","12608"
"42","1/25/2024 12:37:34.7 PM","12918"
"43","1/25/2024 12:37:34.8 PM","13226"
"44","1/25/2024 12:37:34.9 PM","13531"
"45","1/25/2024 12:37:35.0 PM","13842"
"46","1/25/2024 12:37:35.1 PM","14156"
"47","1/25/2024 12:37:35.2 PM","14452"
"48","1/25/2024 12:37:35.3 PM","14762"
"49","1/25/2024 12:37:35.4 PM","15071"
"50","1/25/2024 12:37:35.5 PM","15378"
"51","1/25/2024 12:37:35.6 PM","15683"
"52","1/25/2024 12:37:35.7 PM","15992"
"53","1/25/2024 12:37:35.8 PM","16304"
"54","1/25/2024 12:37:35.9 PM","16609"
"55","1/25/2024 12:37:36.0 PM","16915"
"56","1/25/2024 12:37:36.1 PM","17226"
"57","1/25/2024 12:37:36.2 PM","17530"
"58","1/25/2024 12:37:36.3 PM","17839"
"59","1/25/2024 12:37:36.4 PM","18147"
"60","1/25/2024 12:37:36.5 PM","18457"
"61","1/25/2024 12:37:36.6 PM","18767"
"62","1/25/2024 12:37:36.7 PM","19071"
"63","1/25/2024 12:37:36.8 PM","19379"
"64","1/25/2024 12:37:36.9 PM","19684"
"65","1/25/2024 12:37:37.0 PM","19996"
"66","1/25/2024 12:37:37.1 PM","20301"
"67","1/25/2024 12:37:37.2 PM","20609"
"68","1/25/2024 12:37:37.3 PM","20918"
"69","1/25/2024 12:37:37.4 PM","21226"
"70","1/25/2024 12:37:37.5 PM","21533"
"71","1/25/2024 12:37:37.6 PM","21843"
"72","1/25/2024 12:37:37.7 PM","22148"
"73","1/25/2024 12:37:37.8 PM","22456"
"74","1/25/2024 12:37:37.9 PM","22762"
"75","1/25/2024 12:37:38.0 PM","23075"
"76","1/25/2024 12:37:38.1 PM","23380"
"77","1/25/2024 12:37:38.2 PM","23688"
"78","1/25/2024 12:37:38.3 PM","23998"
"79","1/25/2024 12:37:38.4 PM","24302"
"80","1/25/2024 12:37:38.5 PM","24611"
"81","1/25/2024 12:37:38.6 PM","24919"
"82","1/25/2024 12:37:38.7 PM","25229"
"83","1/25/2024 12:37:38.8 PM","25535"
"84","1/25/2024 12:37:38.9 PM","25844"
"85","1/25/2024 12:37:39.0 PM","26149"
"86","1/25/2024 12:37:39.1 PM","26460"
"87","1/25/2024 12:37:39.2 PM","26763"
"88","1/25/2024 12:37:39.3 PM","27070"
"89","1/25/2024 12:37:39.4 PM","27380"
"90","1/25/2024 12:37:39.5 PM","27687"
"91","1/25/2024 12:37:39.6 PM","27997"
"92","1/25/2024 12:37:39.7 PM","28341"
"93","1/25/2024 12:37:39.8 PM","28612"
"94","1/25/2024 12:37:39.9 PM","28921"
"95","1/25/2024 12:37:40.0 PM","29229"
"96","1/25/2024 12:37:40.1 PM","29537"
"97","1/25/2024 12:37:40.2 PM","29842"
"98","1/25/2024 12:37:40.3 PM","30154"
"99","1/25/2024 12:37:40.4 PM","30456"
"100","1/25/2024 12:37:40.5 PM","30768"
"101","1/25/2024 12:37:40.6 PM","31071"
"102","1/25/2024 12:37:40.7 PM","31379"
"103","1/25/2024 12:37:40.8 PM","31687"
"104","1/25/2024 12:37:40.9 PM","31996"
"105","1/25/2024 12:37:41.0 PM","32307"
"106","1/25/2024 12:37:41.1 PM","32610"
"107","1/25/2024 12:37:41.2 PM","32923"
"108","1/25/2024 12:37:41.3 PM","33231"
"109","1/25/2024 12:37:41.4 PM","33533"
"110","1/25/2024 12:37:41.5 PM","33843"
"111","1/25/2024 12:37:41.6 PM","34148"
"112","1/25/2024 12:37:41.7 PM","34461"
"113","1/25/2024 12:37:41.8 PM","34764"
"114","1/25/2024 12:37:41.9 PM","35073"
"115","1/25/2024 12:37:42.0 PM","35381"
"116","1/25/2024 12:37:42.1 PM","35687"
"117","1/25/2024 12:37:42.2 PM","35995"
"118","1/25/2024 12:37:42.3 PM","36306"
"119","1/25/2024 12:37:42.4 PM","36612"
"120","1/25/2024 12:37:42.5 PM","36918"
"121","1/25/2024 12:37:42.6 PM","37232"
"122","1/25/2024 12:37:42.7 PM","37535"
"123","1/25/2024 12:37:42.8 PM","37845"
"124","1/25/2024 12:37:42.9 PM","38149"
"125","1/25/2024 12:37:43.0 PM","38458"
"126","1/25/2024 12:37:43.1 PM","38770"
"127","1/25/2024 12:37:43.2 PM","39072"
"128","1/25/2024 12:37:43.3 PM","39385"
"129","1/25/2024 12:37:43.4 PM","39688"
"130","1/25/2024 12:37:43.5 PM","39995"
"131","1/25/2024 12:37:43.6 PM","40306"
"132","1/25/2024 12:37:43.7 PM","40612"
"133","1/25/2024 12:37:43.8 PM","40921"
"134","1/25/2024 12:37:43.9 PM","41232"
"135","1/25/2024 12:37:44.0 PM","41535"
"136","1/25/2024 12:37:44.1 PM","41846"
"137","1/25/2024 12:37:44.2 PM","42150"
"138","1/25/2024 12:37:44.3 PM","42463"
"139","1/25/2024 12:37:44.4 PM","42768"
"140","1/25/2024 12:37:44.5 PM","43074"
"141","1/25/2024 12:37:44.6 PM","43383"
"142","1/25/2024 12:37:44.7 PM","43691"
"143","1/25/2024 12:37:44.8 PM","44003"
"144","1/25/2024 12:37:44.9 PM","44305"
"145","1/25/2024 12:37:45.0 PM","44611"
"146","1/25/2024 12:37:45.1 PM","44920"
"147","1/25/2024 12:37:45.2 PM","45227"
"148","1/25/2024 12:37:45.3 PM","45539"
"149","1/25/2024 12:37:45.4 PM","45849"
"150","1/25/2024 12:37:45.5 PM","46153"
"151","1/25/2024 12:37:45.6 PM","46458"
"152","1/25/2024 12:37:45.7 PM","46774"
"153","1/25/2024 12:37:45.8 PM","47075"
"154","1/25/2024 12:37:45.9 PM","47387"
"155","1/25/2024 12:37:46.0 PM","47690"
"156","1/25/2024 12:37:46.1 PM","47998"
"157","1/25/2024 12:37:46.2 PM","48305"
"158","1/25/2024 12:37:46.3 PM","48614"
"159","1/25/2024 12:37:46.4 PM","48920"
"160","1/25/2024 12:37:46.5 PM","49229"
"161","1/25/2024 12:37:46.6 PM","49536"
"162","1/25/2024 12:37:46.7 PM","49849"
"163","1/25/2024 12:37:46.8 PM","50154"
"164","1/25/2024 12:37:46.9 PM","50459"
"165","1/25/2024 12:37:47.0 PM","50768"
"166","1/25/2024 12:37:47.1 PM","51075"
"167","1/25/2024 12:37:47.2 PM","51387"
"168","1/25/2024 12:37:47.3 PM","51696"
"169","1/25/2024 12:37:47.4 PM","52000"
"170","1/25/2024 12:37:47.5 PM","52309"
"171","1/25/2024 12:37:47.6 PM","52617"
"172","1/25/2024 12:37:47.7 PM","52921"
