Torque (Nm),Temp1 (V),Voltage,Current,Temp2 (V),Water Sensor
0.79,-240,-8.85,-9.5,-9.11,-0.32320687592350295
0.82,-239,-8.77,-9.45,-9.02,-0.3281369729052874
0.82,-239,-8.81,-9.47,-9.04,-0.32752071078256506
0.81,-239,-8.86,-9.53,-9.08,-0.3244394001689499
0.79,-240,-8.91,-9.56,-9.16,-0.3176605168189961
0.76,-240,-9.04,-9.63,-9.27,-0.30872471603951235
0.74,-241,-9.1,-9.68,-9.36,-0.302562094812282
0.72,-241,-9.1,-9.66,-9.35,-0.30194583268955855
0.75,-240,-8.93,-9.53,-9.17,-0.31735238575763436
0.79,-240,-8.88,-9.53,-9.14,-0.31827677894171846
